step,epoch,loss,learning_rate,grad_norm,elapsed_s
1,0.2581,1.38363778591156,0.0,1.9298051595687866,105.4
2,0.5161,1.361039400100708,0.0002,1.875809907913208,202.7
3,0.7742,1.1827280521392822,0.00019594929736144976,1.437919020652771,299.7
4,1.0,0.9525365829467773,0.00018412535328311814,0.48221588134765625,385.6
5,1.2581,0.878648042678833,0.00016548607339452853,0.31527093052864075,483.7
6,1.5161,0.8726645112037659,0.00014154150130018866,0.34270179271698,581.2
7,1.7742,0.8250909447669983,0.00011423148382732853,0.35854849219322205,678.9
8,2.0,0.81186842918396,8.57685161726715e-05,0.3411072790622711,764.7
9,2.2581,0.7941029667854309,5.845849869981137e-05,0.3365840017795563,861.1
10,2.5161,0.814644992351532,3.45139266054715e-05,0.3241609036922455,959.6
11,2.7742,0.7977518439292908,1.587464671688187e-05,0.3019980192184448,1056.2
12,3.0,0.7850143313407898,4.050702638550275e-06,0.29843592643737793,1143.3
