step,epoch,loss,learning_rate,grad_norm,elapsed_s
1,0.0081,1.2872,0.0002,1.6307951211929321,74.7
2,0.0163,1.1186,0.0002,1.2539031505584717,157.2
3,0.0244,1.3481,0.0002,1.2185131311416626,238.0
4,0.0325,0.8916,0.0002,1.0367764234542847,316.6
5,0.0407,1.4009,0.0002,1.2838003635406494,388.4
6,0.0488,1.3373,0.0002,0.9598652124404907,490.9
7,0.0569,1.0768,0.0002,0.8791213631629944,581.0
8,0.065,1.1725,0.0002,1.1293489933013916,663.6
9,0.0732,0.9517,0.0002,1.087587833404541,743.7
10,0.0813,1.1107,0.0002,1.2468074560165405,816.4
11,0.0894,0.838,0.0002,1.0102463960647583,890.3
12,0.0976,0.8618,0.0002,1.0288201570510864,962.7
13,0.1057,0.8477,0.0002,0.7843074202537537,1053.3
14,0.1138,1.1403,0.0002,1.072440505027771,1133.4
15,0.122,1.0814,0.0002,1.126754879951477,1207.0
16,0.1301,0.9413,0.0002,0.8943290710449219,1291.5
17,0.1382,0.9136,0.0002,1.1491987705230713,1357.0
18,0.1463,0.8924,0.0002,1.1285403966903687,1428.4
19,0.1545,1.1319,0.0002,1.3717180490493774,1497.0
20,0.1626,1.2469,0.0002,1.3390378952026367,1568.4
21,0.1707,1.126,0.0002,1.217208743095398,1641.4
22,0.1789,1.0036,0.0002,1.2843369245529175,1719.8
23,0.187,0.9427,0.0002,1.1402462720870972,1793.9
24,0.1951,0.9285,0.0002,0.9765961170196533,1876.7
25,0.2033,1.0109,0.0002,1.0650885105133057,1949.3
26,0.2114,0.7976,0.0002,1.1790169477462769,2033.0
27,0.2195,0.9268,0.0002,1.1036531925201416,2110.4
28,0.2276,0.751,0.0002,1.0629314184188843,2185.6
29,0.2358,0.7315,0.0002,1.1057484149932861,2261.5
30,0.2439,0.9812,0.0002,1.0111329555511475,2366.5
31,0.252,0.8055,0.0002,1.147448182106018,2447.2
32,0.2602,0.6343,0.0002,1.0425200462341309,2528.8
33,0.2683,0.8253,0.0002,1.3310703039169312,2596.2
34,0.2764,0.9673,0.0002,1.1983157396316528,2672.9
35,0.2846,1.1412,0.0002,1.1955639123916626,2754.3
36,0.2927,1.1042,0.0002,1.2117668390274048,2840.6
37,0.3008,0.8774,0.0002,0.8490276336669922,2958.3
38,0.3089,1.0363,0.0002,1.2480055093765259,3039.5
39,0.3171,0.7095,0.0002,1.1724529266357422,3112.1
40,0.3252,0.8623,0.0002,0.9172574281692505,3204.5
41,0.3333,0.6684,0.0002,1.042048454284668,3285.4
42,0.3415,1.089,0.0002,1.3010765314102173,3357.5
43,0.3496,0.8827,0.0002,0.9137071967124939,3449.1
44,0.3577,0.9377,0.0002,1.0503348112106323,3536.9
45,0.3659,0.6007,0.0002,1.2063442468643188,3604.3
46,0.374,0.6244,0.0002,1.0491706132888794,3677.8
47,0.3821,1.0844,0.0002,1.3574203252792358,3754.1
48,0.3902,0.8046,0.0002,1.201269507408142,3828.1
49,0.3984,0.7051,0.0002,0.8900294899940491,3923.4
50,0.4065,0.9875,0.0002,1.1666083335876465,4015.6
51,0.4146,0.687,0.0002,1.0463453531265259,4095.7
52,0.4228,0.7082,0.0002,1.178819179534912,4175.6
53,0.4309,0.7493,0.0002,0.8168414235115051,4283.8
54,0.439,1.0561,0.0002,0.9651272892951965,4384.6
55,0.4472,0.8326,0.0002,1.521831750869751,4452.0
56,0.4553,0.8692,0.0002,0.9564664959907532,4547.9
57,0.4634,0.6857,0.0002,1.0610663890838623,4631.5
